scenario,year,region,bau_emissions_tco2,emissions_tco2,abatement_tco2,abatement_mt,capex_usd,total_cost_usd,annual_capex_usd,annual_opex_usd,annual_new_energy_usd,annual_fuel_savings_usd,elec_demand_mwh,h2_demand_t
shaheen_ncc_h2_rising_decoupled,2036,Ulsan,22130929.276215024,13005074.574869508,6393745.7059314195,6.393745705931419,835944199.9999999,2544160201.1008806,33932359.99999999,32943175.999999993,2918199126.9231124,440914461.8222317,17559442.755415082,629188.0
shaheen_ncc_h2_rising_decoupled,2036,Other,432184.00829651015,331097.24179449957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,548192.8769089505,0.0
shaheen_ncc_h2_rising_decoupled,2037,Daesan,19800108.505871844,7407025.911225096,10163636.675714478,10.163636675714478,1290245950.0,4276296746.0419936,51609838.0,51609838.0,4735759712.443659,562682642.4016658,14228572.97631012,1053262.0
shaheen_ncc_h2_rising_decoupled,2037,Yeosu,25771247.357066404,11806689.50138702,10388972.419451501,10.388972419451502,1294979349.9999998,4290565976.7469783,51799173.99999999,51799173.99999999,4756703774.431775,569736145.6847963,20619059.18705699,1057126.0
shaheen_ncc_h2_rising_decoupled,2037,Ulsan,22130929.276215024,11822384.497688117,7177933.762847199,7.177933762847199,918054200.0,2854373793.8290567,37209032.0,36235304.0,3262432849.4048295,481503391.57577306,17777683.620604366,709688.0
shaheen_ncc_h2_rising_decoupled,2037,Other,432184.00829651015,315747.841241049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,548192.8769089505,0.0
shaheen_ncc_h2_rising_decoupled,2038,Daesan,19800108.505871844,7010048.725186045,10267762.914775139,10.267762914775139,1263914400.0,4244496535.3739266,50556576.0,50556576.0,4706066025.775593,562682642.4016658,14228572.97631012,1053262.0
shaheen_ncc_h2_rising_decoupled,2038,Yeosu,25771247.357066404,9418919.78962989,12355167.126760786,12.355167126760787,1519711200.0,5103837508.8052,60788447.99999999,60788447.99999999,5657527975.849203,675267363.0440037,21186485.43654914,1266426.0
shaheen_ncc_h2_rising_decoupled,2038,Ulsan,22130929.276215024,11326387.124673259,7262706.8075312525,7.262706807531252,899539200.0,2834703477.9155197,36460704.0,35502432.0,3244243733.4912925,481503391.57577306,17777683.620604366,709688.0
shaheen_ncc_h2_rising_decoupled,2038,Other,432184.00829651015,300453.2599752893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,548192.8769089505,0.0
